Client,Project,Hourly Rate
Acme Corp,Project 1,50
Acme Corp,Project 2,50
Acme Corp,Project 3,50
Acme Corp,Project 4,50
Acme Corp,Project 5,50
Tech Solutions,Project 6,60
Tech Solutions,Project 7,60
Tech Solutions,Project 8,60
Tech Solutions,Project 9,60
Tech Solutions,Project 10,60
Innovate Ltd,Project 11,55
Innovate Ltd,Project 12,55
Innovate Ltd,Project 13,55
Innovate Ltd,Project 14,55
Global Systems,Project 15,70
Global Systems,Project 16,70
Global Systems,Project 17,70
Global Systems,Project 18,70
Global Systems,Project 19,70
NextGen Analytics,Project 20,65
NextGen Analytics,Project 21,65
NextGen Analytics,Project 22,65
NextGen Analytics,Project 23,65
NextGen Analytics,Project 24,65
